Order_ID,Order_Date,Product,Category,Quantity,Price,City,Sales
1001,2026-01-05,Laptop,Electronics,2,50000,Delhi,100000
1002,2026-01-07,Mouse,Electronics,5,500,Gorakhpur,2500
1003,07/01/2026,Keyboard,electronics,3,1200,Lucknow,3600
1004,2026-01-09,Chair,Furniture,4,3500,Delhi,14000
1005,2026-01-12,Desk,Furniture,2,7000,Gorakhpur,14000
1006,15-01-2026,Monitor,Electronics,3,15000,Lucknow,45000
1007,2026-01-16,Laptop,Electronics,1,55000,Delhi,55000
1008,2026-01-18,Mouse,Electronics,10,450,Gorakhpur,4500
1009,2026-01-20,Chair,Furniture,2,4000,Lucknow,8000
1010,2026-01-22,Desk,Furniture,3,6500,Delhi,19500
1011,2026-01-25,Keyboard,Electronics,2,1300,Delhi,2600
1012,2026-01-28,Mouse,Electronics,4,500,Gorakhpur,2000
1013,2026-02-02,Laptop,Electronics,2,52000,Noida,104000
1014,2026-02-04,Chair,Furniture,3,4200,Lucknow,12600
1015,2026-02-06,Monitor,Electronics,2,18000,Delhi,36000
1016,2026-02-08,Desk,Furniture,1,8000,Gorakhpur,8000
1017,2026-02-10,Keyboard,Electronics,5,1100,Kanpur,5500
1018,2026-02-12,Mouse,Electronics,8,600,Varanasi,4800
1019,2026-02-15,Laptop,Electronics,1,60000,Delhi,60000
1020,2026-02-17,Chair,Furniture,5,3800,Noida,19000
1021,2026-02-20,Monitor,Electronics,4,16000,Lucknow,64000
1022,2026-02-22,Desk,Furniture,2,7500,Kanpur,15000
1023,2026-02-24,Mouse,Electronics,6,550,Gorakhpur,3300
1024,2026-02-26,Keyboard,Electronics,3,1400,Delhi,4200
1025,2026-03-01,Laptop,Electronics,2,58000,Noida,116000
1026,2026-03-03,Chair,Furniture,4,4500,Lucknow,18000
1027,2026-03-05,Desk,Furniture,3,7200,Delhi,21600
1028,2026-03-07,Monitor,Electronics,2,17000,Gorakhpur,34000
1029,2026-03-10,Mouse,Electronics,12,500,Kanpur,6000
1030,2026-03-12,Keyboard,Electronics,4,1250,Varanasi,5000
1031,2026-03-15,Laptop,Electronics,1,65000,Delhi,65000
1032,2026-03-17,Chair,Furniture,2,3900,Gorakhpur,7800
1033,2026-03-20,Desk,Furniture,4,6800,Lucknow,27200
1034,2026-03-22,Monitor,Electronics,3,15500,Noida,46500
1035,2026-03-25,Mouse,Electronics,7,480,Delhi,3360
1036,2026-03-27,Keyboard,Electronics,2,1500,Kanpur,3000
1037,2026-04-01,Laptop,Electronics,3,54000,Lucknow,162000
1038,2026-04-03,Chair,Furniture,3,4100,Delhi,12300
1039,2026-04-05,Desk,Furniture,2,8500,Gorakhpur,17000
1040,2026-04-07,Monitor,Electronics,4,14500,Varanasi,58000
1041,2026-04-10,Mouse,Electronics,9,520,Noida,4680
1042,2026-04-12,Keyboard,Electronics,5,1350,Lucknow,6750
1043,2026-04-15,Laptop,Electronics,1,70000,Delhi,70000
1044,2026-04-17,Chair,Furniture,6,3600,Kanpur,21600
1045,2026-04-20,Desk,Furniture,3,7000,Varanasi,21000
1046,2026-04-22,Monitor,Electronics,2,19000,Gorakhpur,38000
1047,2026-04-24,Mouse,Electronics,5,650,Delhi,3250
1048,2026-04-26,Keyboard,Electronics,3,1450,Noida,4350
1049,2026-05-01,Laptop,Electronics,2,62000,Lucknow,124000
1050,2026-05-03,Chair,Furniture,4,4300,Delhi,17200
1051,2026-05-05,Desk,Furniture,2,9000,Gorakhpur,18000
1052,2026-05-07,Monitor,Electronics,3,17500,Kanpur,52500
1053,2026-05-10,Mouse,Electronics,10,500,Varanasi,5000
1054,2026-05-12,Keyboard,electronics,4,1200,Delhi,4800
1055,2026-05-15,Laptop,Electronics,1,68000,Noida,68000
1056,2026-05-17,Chair,Furniture,2,4600,Lucknow,9200
1057,2026-05-20,Desk,Furniture,3,7600,Delhi,22800
1058,2026-05-22,Monitor,Electronics,2,16500,Gorakhpur,33000
1059,2026-05-25,Mouse,Electronics,6,550,Kanpur,3300
1060,2026-05-27,Keyboard,Electronics,3,1300,Varanasi,3900
